volume,vw,open,close,high,low,t,trades,vwap,pre_market,after_market,symbol
65276741.0,222.8124,220.965,222.91,225.35,220.27,1730433600000,859117,,,,AAPL
44344468.0,221.7744,220.99,222.01,222.79,219.71,1730696400000,647166,,,,AAPL
28111338.0,223.1048,221.795,223.45,223.95,221.14,1730782800000,502059,,,,AAPL
54561121.0,223.8013,222.61,222.72,226.065,221.19,1730869200000,796635,,,,AAPL
42137691.0,226.791,224.625,227.48,227.875,224.57,1730955600000,623242,,,,AAPL
38328824.0,227.2124,227.17,226.96,228.66,226.405,1731042000000,541125,,,,AAPL
42005602.0,223.4599,225.0,224.23,225.7,221.5,1731301200000,555127,,,,AAPL
40398299.0,224.3724,224.55,224.23,225.59,223.355,1731387600000,462612,,,,AAPL
48566217.0,224.9226,224.01,225.12,226.65,222.76,1731474000000,467219,,,,AAPL
44923941.0,227.4472,225.02,228.22,228.87,225.0,1731560400000,492068,,,,AAPL
47923696.0,225.0925,226.4,225.0,226.92,224.27,1731646800000,451319,,,,AAPL
44686020.0,228.083,225.25,228.02,229.74,225.17,1731906000000,437779,,,,AAPL
36211774.0,228.6648,226.98,228.28,230.16,226.66,1731992400000,365242,,,,AAPL
35075316.0,228.0808,228.06,229.0,229.93,225.89,1732078800000,358454,,,,AAPL
42108327.0,228.4689,228.88,228.52,230.155,225.7103,1732165200000,431685,,,,AAPL
38168252.0,229.6877,228.06,229.87,230.7199,228.06,1732251600000,380624,,,,AAPL
90002832.0,232.3535,231.46,232.87,233.245,229.74,1732510800000,510697,,,,AAPL
45986189.0,234.7502,233.33,235.06,235.57,233.33,1732597200000,450015,,,,AAPL
33498439.0,234.7968,234.465,234.93,235.69,233.8101,1732683600000,339860,,,,AAPL
28481377.0,236.6232,234.805,237.33,237.81,233.97,1732856400000,268955,,,,AAPL
48137103.0,239.4992,237.27,239.59,240.79,237.16,1733115600000,469685,,,,AAPL
38861017.0,241.644,239.81,242.65,242.76,238.9,1733202000000,419384,,,,AAPL
44383935.0,242.918,242.87,243.01,244.11,241.25,1733288400000,406663,,,,AAPL
40033878.0,243.0077,243.99,243.04,244.54,242.13,1733374800000,401262,,,,AAPL
36870619.0,243.187,242.905,242.84,244.63,242.08,1733461200000,366549,,,,AAPL
44649232.0,246.0624,241.83,246.75,247.24,241.75,1733720400000,500769,,,,AAPL
36914806.0,247.2778,246.89,247.77,248.21,245.34,1733806800000,423350,,,,AAPL
45205814.0,248.069,247.96,246.49,250.8,246.2601,1733893200000,455625,,,,AAPL
32777532.0,247.7433,246.89,247.96,248.74,245.68,1733979600000,353012,,,,AAPL
33081590.0,247.7598,247.815,248.13,249.2902,246.24,1734066000000,349809,,,,AAPL
51694753.0,250.4623,247.99,251.04,251.38,247.65,1734325200000,448224,,,,AAPL
51356360.0,252.982,250.08,253.48,253.83,249.78,1734411600000,487662,,,,AAPL
56764701.0,250.531,252.16,248.05,254.28,247.74,1734498000000,564346,,,,AAPL
60559114.0,249.8401,247.5,249.79,252.0,247.0949,1734584400000,532893,,,,AAPL
147495267.0,253.1916,248.04,254.49,255.0,245.69,1734670800000,551019,,,,AAPL
40858774.0,254.7699,254.77,255.27,255.65,253.45,1734930000000,422563,,,,AAPL
23234705.0,257.4634,255.49,258.2,258.21,255.29,1735016400000,245932,,,,AAPL
27262983.0,258.9315,258.19,259.02,260.1,257.63,1735189200000,362325,,,,AAPL
42355321.0,255.2418,257.83,255.59,258.7,253.06,1735275600000,474899,,,,AAPL
35557542.0,252.2669,252.23,252.2,253.5,250.75,1735534800000,421634,,,,AAPL
39480718.0,250.6934,252.44,250.42,253.28,249.43,1735621200000,361255,,,,AAPL
55090731.0,244.346,248.93,243.85,249.1,241.8201,1735794000000,685447,,,,AAPL
40244114.0,243.0805,243.36,243.36,244.18,241.89,1735880400000,493786,,,,AAPL
45045571.0,245.1726,244.31,245.0,247.33,243.2,1736139600000,493920,,,,AAPL
40855960.0,242.9459,242.98,242.21,245.55,241.35,1736226000000,462887,,,,AAPL
37613940.0,242.2993,241.92,242.7,243.7123,240.05,1736312400000,406915,,,,AAPL
61705156.0,236.6063,240.01,236.85,240.16,233.0,1736485200000,685975,,,,AAPL
49630725.0,232.7529,233.53,234.4,234.67,229.72,1736744400000,561231,,,,AAPL
39433494.0,233.8732,234.75,233.28,236.12,232.472,1736830800000,436332,,,,AAPL
39822169.0,237.58,234.635,237.87,238.96,234.43,1736917200000,418803,,,,AAPL
71752652.0,230.4964,237.35,228.26,238.01,228.03,1737003600000,786111,,,,AAPL
67849101.0,230.4618,232.115,229.98,232.29,228.48,1737090000000,579300,,,,AAPL
98070429.0,221.6956,224.0,222.64,224.42,219.38,1737435600000,1220197,,,,AAPL
64126500.0,222.8221,219.79,223.83,224.12,219.79,1737522000000,683037,,,,AAPL
60234760.0,224.1093,224.74,223.66,227.03,222.3,1737608400000,619806,,,,AAPL
54697907.0,223.1447,224.78,222.78,225.63,221.41,1737694800000,579473,,,,AAPL
94863418.0,228.8379,224.02,229.86,232.15,223.98,1737954000000,1008209,,,,AAPL
75682044.0,237.4839,230.85,238.26,240.19,230.81,1738040400000,788816,,,,AAPL
45475767.0,237.4858,234.12,239.36,239.855,234.01,1738126800000,515212,,,,AAPL
55658279.0,238.9601,238.665,237.59,240.79,237.21,1738213200000,636380,,,,AAPL
101071628.0,238.5565,247.19,236.0,247.19,233.44,1738299600000,936709,,,,AAPL
73039761.0,228.3037,229.99,228.01,231.83,225.7,1738558800000,851633,,,,AAPL
45014201.0,231.2132,227.25,232.8,233.13,226.65,1738645200000,497327,,,,AAPL
39664989.0,230.8247,228.53,232.47,232.67,228.27,1738731600000,445631,,,,AAPL
29869249.0,232.4036,231.285,233.22,233.8,230.425,1738818000000,375400,,,,AAPL
39707224.0,229.1297,232.6,227.63,234.0,227.26,1738904400000,488184,,,,AAPL
33096475.0,228.45,229.57,227.65,230.585,227.2,1739163600000,398258,,,,AAPL
53710612.0,232.4505,228.2,232.62,235.23,228.13,1739250000000,552126,,,,AAPL
45243281.0,235.0413,231.2,236.87,236.96,230.68,1739336400000,486474,,,,AAPL
53614054.0,240.3233,236.91,241.53,242.3399,235.57,1739422800000,531132,,,,AAPL
40383927.0,244.0715,241.25,244.6,245.55,240.99,1739509200000,481731,,,,AAPL
48822491.0,244.1423,244.15,244.47,245.18,241.84,1739854800000,486720,,,,AAPL
32204215.0,244.6863,244.66,244.87,246.01,243.1604,1739941200000,383453,,,,AAPL
32316907.0,245.6383,244.94,245.83,246.78,244.29,1740027600000,405771,,,,AAPL
53196141.0,246.3756,245.95,245.55,248.69,245.22,1740114000000,508397,,,,AAPL
51326396.0,247.2414,244.925,247.1,248.86,244.42,1740373200000,593130,,,,AAPL
48013272.0,247.4765,248.0,247.04,250.0,244.91,1740459600000,574045,,,,AAPL
44433564.0,241.6568,244.33,240.36,244.98,239.13,1740546000000,557242,,,,AAPL
41153639.0,239.4953,239.41,237.3,242.46,237.06,1740632400000,503479,,,,AAPL
56833349.0,239.5113,236.95,241.84,242.09,230.2,1740718800000,572583,,,,AAPL
47183985.0,239.9029,241.79,238.03,244.0272,236.112,1740978000000,557039,,,,AAPL
53798024.0,237.5186,237.705,235.93,240.07,234.68,1741064400000,685392,,,,AAPL
47227642.0,234.0871,235.42,235.74,236.55,229.23,1741150800000,558644,,,,AAPL
45155019.0,235.2928,234.435,235.33,237.86,233.1581,1741237200000,551789,,,,AAPL
46250710.0,238.9039,235.105,239.07,241.37,234.76,1741323600000,581194,,,,AAPL
72071197.0,227.6311,235.54,227.48,236.16,224.22,1741579200000,1152721,,,,AAPL
76124402.0,221.1807,223.805,220.84,225.8399,217.45,1741665600000,899697,,,,AAPL
62547467.0,217.6087,220.14,216.98,221.75,214.91,1741752000000,792931,,,,AAPL
61318730.0,212.0144,215.95,209.68,216.8394,208.42,1741838400000,768933,,,,AAPL
60107582.0,212.4529,211.25,213.49,213.95,209.58,1741924800000,668917,,,,AAPL
48073426.0,213.2536,213.31,214.0,215.22,209.97,1742184000000,577436,,,,AAPL
42427021.0,213.0584,214.16,212.69,215.15,211.49,1742270400000,493002,,,,AAPL
54383891.0,215.5599,214.22,215.24,218.76,213.75,1742356800000,524677,,,,AAPL
48862947.0,214.3888,213.99,214.1,217.4899,212.22,1742443200000,499769,,,,AAPL
93568368.0,215.9292,211.56,218.27,218.84,211.28,1742529600000,496946,,,,AAPL
44299483.0,220.0734,221.0,220.73,221.48,218.58,1742788800000,495018,,,,AAPL
34493583.0,223.1154,220.77,223.75,224.1,220.08,1742875200000,407132,,,,AAPL
34492906.0,222.5202,223.51,221.53,225.02,220.47,1742961600000,440451,,,,AAPL
37093374.0,223.3729,221.39,223.85,224.99,220.5601,1743048000000,387118,,,,AAPL
39818617.0,219.3577,221.67,217.9,223.81,217.68,1743134400000,485185,,,,AAPL
65283571.0,220.6569,217.005,222.13,225.62,216.23,1743393600000,646562,,,,AAPL
36336840.0,222.3346,219.805,223.19,223.68,218.9,1743480000000,594669,,,,AAPL
35905904.0,222.4314,221.315,223.89,225.19,221.02,1743566400000,473114,,,,AAPL
103419006.0,204.1959,205.54,203.19,207.49,201.25,1743652800000,1366640,,,,AAPL
125897269.0,192.5544,193.89,188.38,199.88,187.34,1743739200000,1716139,,,,AAPL
160406286.0,180.5647,177.2,181.46,194.15,174.62,1743998400000,2117014,,,,AAPL
120696904.0,179.0738,186.7,172.42,190.335,169.2101,1744084800000,1671524,,,,AAPL
184261774.0,187.9565,171.95,198.85,200.61,171.89,1744171200000,2212956,,,,AAPL
121879981.0,189.982,189.065,190.42,194.7799,183.0,1744257600000,1500041,,,,AAPL
87435915.0,195.623,186.1,198.15,199.54,186.06,1744344000000,1073191,,,,AAPL
101352911.0,205.5914,211.44,202.52,212.94,201.1621,1744603200000,1272714,,,,AAPL
51343872.0,202.1396,201.855,202.14,203.51,199.8,1744689600000,595846,,,,AAPL
59727673.0,195.8891,198.36,194.27,200.7,192.37,1744776000000,744248,,,,AAPL
52164675.0,196.8888,197.2,196.98,198.8335,194.42,1744862400000,537919,,,,AAPL
46742537.0,192.0767,193.265,193.16,193.8,189.8112,1745208000000,576340,,,,AAPL
52976371.0,199.2937,196.12,199.74,201.59,195.97,1745294400000,608790,,,,AAPL
52929165.0,205.3603,206.0,204.6,208.0,202.799,1745380800000,664354,,,,AAPL
47310989.0,207.0889,204.89,208.37,208.8299,202.94,1745467200000,490831,,,,AAPL
38222258.0,208.3682,206.365,209.28,209.75,206.2,1745553600000,469917,,,,AAPL
38737224.0,209.6743,210.0,210.14,211.5,207.46,1745812800000,436968,,,,AAPL
36827633.0,210.9585,208.693,211.21,212.24,208.37,1745899200000,403524,,,,AAPL
52286454.0,211.3283,209.3,212.5,213.58,206.6705,1745985600000,501667,,,,AAPL
57364925.0,211.8686,209.08,213.32,214.56,208.9,1746072000000,712565,,,,AAPL
101010621.0,204.9131,206.09,205.35,206.99,202.16,1746158400000,1100613,,,,AAPL
69018452.0,199.7435,203.1,198.89,204.1,198.21,1746417600000,770697,,,,AAPL
51216482.0,198.8453,198.21,198.51,200.65,197.02,1746504000000,529849,,,,AAPL
68616943.0,195.9883,199.17,196.25,199.44,193.25,1746590400000,753075,,,,AAPL
50478872.0,197.7519,197.72,197.49,200.05,194.6796,1746676800000,599001,,,,AAPL
36453923.0,198.6614,199.0,198.53,200.5399,197.535,1746763200000,423067,,,,AAPL
63775814.0,209.7114,210.97,210.79,211.2679,206.75,1747022400000,806841,,,,AAPL
51909332.0,211.8003,210.43,212.93,213.4,209.0,1747108800000,608884,,,,AAPL
49325825.0,212.2847,212.43,212.33,213.94,210.5801,1747195200000,596267,,,,AAPL
45029473.0,211.308,210.95,211.45,212.96,209.54,1747281600000,550863,,,,AAPL
54737850.0,211.25,212.36,211.26,212.57,209.77,1747368000000,512788,,,,AAPL
